sfs_code,structure,closure_date,latitude,longitude,status_category,verified_2018,last_verified
SFS_256,SFS,NA,-26.376778,26.697202,Active,Y,2018
SFS_257,SFS,NA,-29.354625,29.7912,Active,Y,2018
SFS_259,SFS,NA,-32.4085,27.36455833,Active,Y,2018
SFS_260,SFS,NA,-22.974722,28.028889,Active,Y,2018
SFS_261,SFS,NA,-25.9805,27.79276667,Active,Y,2018
SFS_262,SFS,NA,-30.8106,27.96695,Active,Y,2018
SFS_263,SFS,NA,-24.638337,26.801389,Active,Y,2018
SFS_265,SFS,NA,-29.37966667,29.72269444,Active,Y,2018
SFS_268,SFS,NA,-24.21027778,26.9825,Active,Y,2018
SFS_270,SFS,NA,-32.141944,26.989444,Active,Y,2018
SFS_272,SFS,2013,-29.71180556,29.59308333,Active,Y,2018
SFS_279,SFS,NA,-29.58773306,29.29468389,Active,Y,2018
SFS_280,SFS,2009,-29.31611111,29.72305556,Active,Y,2018
SFS_281,SFS,NA,-29.82141667,29.46894444,Active,Y,2018
SFS_283,SFS,NA,-23.91401667,30.7379,Active,Y,2018
SFS_285,SFS,NA,-23.41626667,28.44873333,Active,Y,2018
SFS_295,SFS,NA,-28.461216,29.058457,Active,Y,2018
SFS_297,SFS,2003,-30.765141,27.567992,Active,Y,2018
SFS_301,SFS,NA,-23.74944,28.09611,Active,Y,2018
SFS_304,SFS,NA,-24.47198056,27.25248056,Active,Y,2018
SFS_310,SFS,NA,-27.07084,25.320509,Active,Y,2018
SFS_311,SFS,NA,-29.345393,29.79736,Active,Y,2018
SFS_314,SFS,NA,-31.16166667,28.386275,Active,Y,2018
SFS_319,SFS,NA,-24.83241667,29.17480556,Active,Y,2018
SFS_327,SFS,NA,-17.916389,25.816388,Active,Y,2018
SFS_330,SFS,NA,-24.761111,29.256944,Active,Y,2018
SFS_331,SFS,NA,-25.711741,27.954476,Active,Y,2018
SFS_332,SFS,NA,-24.902901,28.67582,Active,Y,2018
SFS_333,SFS,NA,-24.967947,28.377241,Active,Y,2018
SFS_337,SFS,NA,-28.870409,30.018202,Active,Y,2018
SFS_340,SFS,NA,-23.45806,27.40333,Active,Y,2018
SFS_341,SFS,NA,-28.68625,28.90043611,Active,Y,2018
SFS_343,SFS,NA,-30.45672222,29.32694444,Active,Y,2018
SFS_345,SFS,NA,-29.8,29.7,Active,Y,2018
SFS_349,SFS,NA,-24.96658333,29.12245,Active,Y,2018
SFS_350,SFS,NA,-23.4495333333333,27.58945,Active,Y,2018
SFS_351,SFS,NA,-29.88972222,29.64111111,Active,Y,2018
SFS_352,SFS,NA,-29.65698889,29.56222222,Active,Y,2018
SFS_353,SFS,NA,-27.578894,25.867121,Active,Y,2018
SFS_354,SFS,NA,-32.47483889,27.21730833,Active,Y,2018
SFS_355,SFS,NA,-29.79651944,29.53638611,Active,Y,2018
SFS_356,SFS,NA,-29.827977,29.581374,Active,Y,2018
SFS_357,SFS,NA,-30.65980833,30.24789444,Active,Y,2018
SFS_361,SFS,NA,-13.7756,29.3805,Active,Y,2018
SFS_362,SFS,NA,-13.77480833,29.35668333,Active,Y,2018
SFS_363,SFS,NA,-20.10679,16.21743,Active,Y,2018
SFS_364,SFS,NA,-29.7119,29.55926111,Active,Y,2018
SFS_365,SFS,NA,-20.61222222,17.35472222,Active,Y,2018
SFS_366,SFS,NA,-25.747121,24.339073,Active,Y,2018
SFS_367,SFS,NA,-25.403548,25.663603,Active,Y,2018
SFS_368,SFS,NA,-30.3833,28.85,Active,Y,2018
SFS_369,SFS,NA,-29.76388333,29.63153333,Active,Y,2018
SFS_370,SFS,NA,-29.769509,29.567867,Active,Y,2018
SFS_371,SFS,NA,-30.910305,27.776175,Active,Y,2018
SFS_374,SFS,NA,-24.5506867,27.4500187,Active,Y,2018
SFS_375,SFS,NA,-29.49688889,29.90338611,Active,Y,2018
SFS_376,SFS,NA,-28.724064,29.861059,Active,Y,2018
SFS_377,SFS,NA,-25.809163,27.865259000000002,Active,Y,2018
SFS_379,SFS,NA,-30.739727,27.679791,Active,Y,2018
SFS_380,SFS,NA,-30.713168,27.774479,Active,Y,2018
SFS_381,SFS,NA,-24.7257463,29.20921032,Active,Y,2018
SFS_382,SFS,NA,-25.675638,23.70163,Active,Y,2018
SFS_383,SFS,NA,-21.65601,21.34503,Active,Y,2018
SFS_384,SFS,NA,-25.362682,31.784401,Active,Y,2018
SFS_385,SFS,NA,-24.378076,31.163075,Active,Y,2018
SFS_386,SFS,NA,-19.88585278,29.46611111,Active,Y,2018
SFS_387,SFS,NA,-27.69498,25.37388,Active,Y,2018
SFS_388,SFS,NA,-19.49183333,29.72333333,Active,Y,2018
SFS_389,SFS,NA,-23.77694444,28.35416667,Active,Y,2018
SFS_390,SFS,NA,-24.0620546,27.0693888,Active,Y,2018
